enrollment_id,student_id,course_id,marks_obtained,grade,grade_point,attendance_percentage,semester,academic_year
38,STU2024CS0002,CRS_CS101,70.6,A,8.0,85.6,1,2022-2023
39,STU2024CS0002,CRS_CS102,68.7,B+,7.0,80.3,1,2022-2023
40,STU2024CS0002,CRS_CS103,72.0,A,8.0,80.5,1,2022-2023
41,STU2024CS0002,CRS_CS104,82.9,A+,9.0,90.1,1,2022-2023
42,STU2024CS0002,CRS_CS105,88.9,A+,9.0,83.0,1,2022-2023
43,STU2024CS0002,CRS_CS201,78.0,A,8.0,87.9,2,2022-2023
44,STU2024CS0002,CRS_CS202,66.9,B+,7.0,84.5,2,2022-2023
45,STU2024CS0002,CRS_CS203,73.6,A,8.0,83.9,2,2022-2023
46,STU2024CS0002,CRS_CS204,91.2,O,10.0,82.3,2,2022-2023
47,STU2024CS0002,CRS_CS205,75.0,A,8.0,80.3,2,2022-2023
48,STU2024CS0002,CRS_CS301,70.7,A,8.0,83.6,3,2023-2024
49,STU2024CS0002,CRS_CS302,71.6,A,8.0,82.0,3,2023-2024
50,STU2024CS0002,CRS_CS303,77.9,A,8.0,87.8,3,2023-2024
51,STU2024CS0002,CRS_CS304,65.1,B+,7.0,90.8,3,2023-2024
52,STU2024CS0002,CRS_CS305,68.5,B+,7.0,88.7,3,2023-2024
53,STU2024CS0002,CRS_CS401,84.1,A+,9.0,88.7,4,2023-2024
54,STU2024CS0002,CRS_CS402,77.6,A,8.0,78.2,4,2023-2024
55,STU2024CS0002,CRS_CS403,75.1,A,8.0,88.7,4,2023-2024
56,STU2024CS0002,CRS_CS404,84.7,A+,9.0,90.2,4,2023-2024
57,STU2024CS0002,CRS_CS405,66.3,B+,7.0,78.9,4,2023-2024
58,STU2024CS0002,CRS_CS501,70.4,A,8.0,82.3,5,2024-2025
59,STU2024CS0002,CRS_CS502,77.3,A,8.0,75.1,5,2024-2025
60,STU2024CS0002,CRS_CS503,76.9,A,8.0,83.7,5,2024-2025
61,STU2024CS0002,CRS_CS504,58.4,B,6.0,77.0,5,2024-2025
62,STU2024CS0002,CRS_CS505,69.4,B+,7.0,80.7,5,2024-2025
63,STU2024CS0002,CRS_CS601,72.2,A,8.0,83.8,6,2024-2025
64,STU2024CS0002,CRS_CS602,78.4,A,8.0,87.0,6,2024-2025
65,STU2024CS0002,CRS_CS603,76.8,A,8.0,91.4,6,2024-2025
66,STU2024CS0002,CRS_CS604,73.2,A,8.0,79.3,6,2024-2025
67,STU2024CS0002,CRS_CS605,52.9,B,6.0,79.8,6,2024-2025
68,STU2024CS0002,CRS_CS701,73.7,A,8.0,75.6,7,2025-2026
69,STU2024CS0002,CRS_CS702,74.7,A,8.0,75.9,7,2025-2026
70,STU2024CS0002,CRS_CS703,99.0,O,10.0,79.7,7,2025-2026
71,STU2024CS0002,CRS_CS704,71.9,A,8.0,77.5,7,2025-2026
72,STU2024CS0002,CRS_CS801,77.3,A,8.0,83.3,8,2025-2026
73,STU2024CS0002,CRS_CS802,86.6,A+,9.0,79.0,8,2025-2026
74,STU2024CS0002,CRS_CS803,82.3,A+,9.0,87.4,8,2025-2026
75,STU2024CS0003,CRS_CS101,89.4,A+,9.0,85.8,1,2021-2022
76,STU2024CS0003,CRS_CS102,58.6,B,6.0,84.1,1,2021-2022
77,STU2024CS0003,CRS_CS103,63.1,B+,7.0,75.7,1,2021-2022
78,STU2024CS0003,CRS_CS104,67.8,B+,7.0,85.0,1,2021-2022
79,STU2024CS0003,CRS_CS105,56.9,B,6.0,86.0,1,2021-2022
80,STU2024CS0003,CRS_CS201,74.8,A,8.0,78.0,2,2021-2022
81,STU2024CS0003,CRS_CS202,63.9,B+,7.0,90.9,2,2021-2022
82,STU2024CS0003,CRS_CS203,91.0,O,10.0,77.3,2,2021-2022
83,STU2024CS0003,CRS_CS204,65.4,B+,7.0,90.7,2,2021-2022
84,STU2024CS0003,CRS_CS205,70.5,A,8.0,89.9,2,2021-2022
85,STU2024CS0003,CRS_CS301,82.9,A+,9.0,88.9,3,2022-2023
86,STU2024CS0003,CRS_CS302,60.5,B+,7.0,84.4,3,2022-2023
87,STU2024CS0003,CRS_CS303,56.3,B,6.0,76.6,3,2022-2023
88,STU2024CS0003,CRS_CS304,76.0,A,8.0,90.3,3,2022-2023
89,STU2024CS0003,CRS_CS305,76.9,A,8.0,80.8,3,2022-2023
90,STU2024CS0003,CRS_CS401,82.6,A+,9.0,80.9,4,2022-2023
91,STU2024CS0003,CRS_CS402,79.7,A,8.0,90.1,4,2022-2023
92,STU2024CS0003,CRS_CS403,77.3,A,8.0,88.3,4,2022-2023
93,STU2024CS0003,CRS_CS404,66.5,B+,7.0,77.7,4,2022-2023
94,STU2024CS0003,CRS_CS405,76.6,A,8.0,90.3,4,2022-2023
95,STU2024CS0003,CRS_CS501,77.2,A,8.0,75.1,5,2023-2024
96,STU2024CS0003,CRS_CS502,66.1,B+,7.0,77.7,5,2023-2024
97,STU2024CS0003,CRS_CS503,94.5,O,10.0,86.1,5,2023-2024
98,STU2024CS0003,CRS_CS504,79.2,A,8.0,78.8,5,2023-2024
99,STU2024CS0003,CRS_CS505,63.3,B+,7.0,80.5,5,2023-2024
100,STU2024CS0003,CRS_CS601,82.7,A+,9.0,87.7,6,2023-2024
101,STU2024CS0003,CRS_CS602,84.6,A+,9.0,86.2,6,2023-2024
102,STU2024CS0003,CRS_CS603,78.5,A,8.0,84.7,6,2023-2024
103,STU2024CS0003,CRS_CS604,71.3,A,8.0,79.5,6,2023-2024
104,STU2024CS0003,CRS_CS605,65.7,B+,7.0,79.1,6,2023-2024
105,STU2024CS0003,CRS_CS701,73.2,A,8.0,90.2,7,2024-2025
106,STU2024CS0003,CRS_CS702,77.8,A,8.0,85.7,7,2024-2025
107,STU2024CS0003,CRS_CS703,74.1,A,8.0,84.8,7,2024-2025
108,STU2024CS0003,CRS_CS704,90.0,O,10.0,83.4,7,2024-2025
109,STU2024CS0003,CRS_CS801,80.9,A+,9.0,79.8,8,2024-2025
110,STU2024CS0003,CRS_CS802,64.6,B+,7.0,75.4,8,2024-2025
111,STU2024CS0003,CRS_CS803,62.2,B+,7.0,91.0,8,2024-2025
112,STU2024CS0004,CRS_CS101,79.3,A,8.0,91.2,1,2021-2022
113,STU2024CS0004,CRS_CS102,71.5,A,8.0,75.3,1,2021-2022
114,STU2024CS0004,CRS_CS103,81.9,A+,9.0,90.8,1,2021-2022
115,STU2024CS0004,CRS_CS104,79.2,A,8.0,91.4,1,2021-2022
116,STU2024CS0004,CRS_CS105,73.2,A,8.0,89.5,1,2021-2022
117,STU2024CS0004,CRS_CS201,64.7,B+,7.0,89.5,2,2021-2022
118,STU2024CS0004,CRS_CS202,57.3,B,6.0,80.4,2,2021-2022
119,STU2024CS0004,CRS_CS203,76.4,A,8.0,90.9,2,2021-2022
120,STU2024CS0004,CRS_CS204,60.3,B+,7.0,86.8,2,2021-2022
121,STU2024CS0004,CRS_CS205,64.3,B+,7.0,85.5,2,2021-2022
122,STU2024CS0004,CRS_CS301,75.7,A,8.0,91.8,3,2022-2023
123,STU2024CS0004,CRS_CS302,74.6,A,8.0,89.9,3,2022-2023
124,STU2024CS0004,CRS_CS303,61.4,B+,7.0,87.6,3,2022-2023
125,STU2024CS0004,CRS_CS304,85.9,A+,9.0,81.1,3,2022-2023
126,STU2024CS0004,CRS_CS305,85.6,A+,9.0,80.0,3,2022-2023
127,STU2024CS0004,CRS_CS401,79.7,A,8.0,89.7,4,2022-2023
128,STU2024CS0004,CRS_CS402,79.7,A,8.0,90.5,4,2022-2023
129,STU2024CS0004,CRS_CS403,79.7,A,8.0,88.6,4,2022-2023
130,STU2024CS0004,CRS_CS404,99.0,O,10.0,86.0,4,2022-2023
131,STU2024CS0004,CRS_CS405,84.5,A+,9.0,90.1,4,2022-2023
132,STU2024CS0004,CRS_CS501,81.2,A+,9.0,80.7,5,2023-2024
133,STU2024CS0004,CRS_CS502,65.5,B+,7.0,84.8,5,2023-2024
134,STU2024CS0004,CRS_CS503,71.4,A,8.0,75.6,5,2023-2024
135,STU2024CS0004,CRS_CS504,99.0,O,10.0,79.9,5,2023-2024
136,STU2024CS0004,CRS_CS505,53.5,B,6.0,85.0,5,2023-2024
137,STU2024CS0004,CRS_CS601,68.8,B+,7.0,77.2,6,2023-2024
138,STU2024CS0004,CRS_CS602,86.0,A+,9.0,83.9,6,2023-2024
139,STU2024CS0004,CRS_CS603,66.1,B+,7.0,85.6,6,2023-2024
140,STU2024CS0004,CRS_CS604,81.5,A+,9.0,76.5,6,2023-2024
141,STU2024CS0004,CRS_CS605,74.5,A,8.0,84.2,6,2023-2024
142,STU2024CS0004,CRS_CS701,66.8,B+,7.0,85.8,7,2024-2025
143,STU2024CS0004,CRS_CS702,51.7,B,6.0,88.5,7,2024-2025
144,STU2024CS0004,CRS_CS703,76.1,A,8.0,79.6,7,2024-2025
145,STU2024CS0004,CRS_CS704,65.3,B+,7.0,75.4,7,2024-2025
146,STU2024CS0004,CRS_CS801,72.7,A,8.0,91.4,8,2024-2025
147,STU2024CS0004,CRS_CS802,79.6,A,8.0,82.0,8,2024-2025
148,STU2024CS0004,CRS_CS803,83.5,A+,9.0,77.9,8,2024-2025
149,STU2024CS0005,CRS_CS101,68.8,B+,7.0,84.3,1,2021-2022
150,STU2024CS0005,CRS_CS102,66.8,B+,7.0,87.1,1,2021-2022
151,STU2024CS0005,CRS_CS103,60.1,B+,7.0,91.2,1,2021-2022
152,STU2024CS0005,CRS_CS104,84.1,A+,9.0,87.5,1,2021-2022
153,STU2024CS0005,CRS_CS105,97.3,O,10.0,82.1,1,2021-2022
154,STU2024CS0005,CRS_CS201,85.4,A+,9.0,79.2,2,2021-2022
155,STU2024CS0005,CRS_CS202,87.9,A+,9.0,75.2,2,2021-2022
156,STU2024CS0005,CRS_CS203,66.2,B+,7.0,77.0,2,2021-2022
157,STU2024CS0005,CRS_CS204,78.9,A,8.0,83.1,2,2021-2022
158,STU2024CS0005,CRS_CS205,82.5,A+,9.0,76.7,2,2021-2022
159,STU2024CS0005,CRS_CS301,38.3,P,4.0,77.9,3,2022-2023
160,STU2024CS0005,CRS_CS302,62.7,B+,7.0,82.4,3,2022-2023
161,STU2024CS0005,CRS_CS303,92.0,O,10.0,85.8,3,2022-2023
162,STU2024CS0005,CRS_CS304,58.3,B,6.0,75.8,3,2022-2023
163,STU2024CS0005,CRS_CS305,89.9,A+,9.0,83.6,3,2022-2023
164,STU2024CS0005,CRS_CS401,58.2,B,6.0,89.6,4,2022-2023
165,STU2024CS0005,CRS_CS402,63.2,B+,7.0,76.2,4,2022-2023
166,STU2024CS0005,CRS_CS403,79.1,A,8.0,85.9,4,2022-2023
167,STU2024CS0005,CRS_CS404,74.8,A,8.0,91.0,4,2022-2023
168,STU2024CS0005,CRS_CS405,69.8,B+,7.0,84.8,4,2022-2023
169,STU2024CS0005,CRS_CS501,91.4,O,10.0,82.8,5,2023-2024
170,STU2024CS0005,CRS_CS502,60.4,B+,7.0,84.3,5,2023-2024
171,STU2024CS0005,CRS_CS503,72.3,A,8.0,91.3,5,2023-2024
172,STU2024CS0005,CRS_CS504,80.5,A+,9.0,90.4,5,2023-2024
173,STU2024CS0005,CRS_CS505,77.1,A,8.0,76.2,5,2023-2024
174,STU2024CS0005,CRS_CS601,67.2,B+,7.0,80.4,6,2023-2024
175,STU2024CS0005,CRS_CS602,67.5,B+,7.0,77.0,6,2023-2024
176,STU2024CS0005,CRS_CS603,83.3,A+,9.0,86.8,6,2023-2024
177,STU2024CS0005,CRS_CS604,83.9,A+,9.0,87.5,6,2023-2024
178,STU2024CS0005,CRS_CS605,77.4,A,8.0,88.7,6,2023-2024
179,STU2024CS0005,CRS_CS701,64.9,B+,7.0,87.8,7,2024-2025
180,STU2024CS0005,CRS_CS702,67.8,B+,7.0,88.7,7,2024-2025
181,STU2024CS0005,CRS_CS703,73.8,A,8.0,81.3,7,2024-2025
182,STU2024CS0005,CRS_CS704,75.3,A,8.0,88.2,7,2024-2025
183,STU2024CS0005,CRS_CS801,80.0,A+,9.0,89.6,8,2024-2025
184,STU2024CS0005,CRS_CS802,71.8,A,8.0,82.3,8,2024-2025
185,STU2024CS0005,CRS_CS803,83.1,A+,9.0,76.8,8,2024-2025
186,STU2024CS0006,CRS_CS101,82.9,A+,9.0,90.3,1,2024-2025
187,STU2024CS0006,CRS_CS102,88.4,A+,9.0,80.4,1,2024-2025
188,STU2024CS0006,CRS_CS103,74.2,A,8.0,90.2,1,2024-2025
189,STU2024CS0006,CRS_CS104,77.6,A,8.0,91.2,1,2024-2025
190,STU2024CS0006,CRS_CS105,72.6,A,8.0,84.7,1,2024-2025
191,STU2024CS0006,CRS_CS201,65.0,B+,7.0,80.0,2,2024-2025
192,STU2024CS0006,CRS_CS202,97.0,O,10.0,80.6,2,2024-2025
193,STU2024CS0006,CRS_CS203,86.7,A+,9.0,88.5,2,2024-2025
194,STU2024CS0006,CRS_CS204,82.7,A+,9.0,88.4,2,2024-2025
195,STU2024CS0006,CRS_CS205,73.9,A,8.0,76.0,2,2024-2025
196,STU2024CS0006,CRS_CS301,64.1,B+,7.0,84.3,3,2025-2026
197,STU2024CS0006,CRS_CS302,84.7,A+,9.0,81.0,3,2025-2026
198,STU2024CS0006,CRS_CS303,72.4,A,8.0,77.0,3,2025-2026
199,STU2024CS0006,CRS_CS304,78.5,A,8.0,85.5,3,2025-2026
200,STU2024CS0006,CRS_CS305,67.8,B+,7.0,76.7,3,2025-2026
201,STU2024CS0006,CRS_CS401,76.7,A,8.0,76.2,4,2025-2026
202,STU2024CS0006,CRS_CS402,68.4,B+,7.0,89.0,4,2025-2026
203,STU2024CS0006,CRS_CS403,68.8,B+,7.0,76.4,4,2025-2026
204,STU2024CS0006,CRS_CS404,76.6,A,8.0,91.8,4,2025-2026
205,STU2024CS0006,CRS_CS405,58.1,B,6.0,88.8,4,2025-2026
206,STU2024CS0006,CRS_CS501,58.5,B,6.0,91.1,5,2026-2027
207,STU2024CS0006,CRS_CS502,66.1,B+,7.0,88.2,5,2026-2027
208,STU2024CS0006,CRS_CS503,71.7,A,8.0,84.5,5,2026-2027
209,STU2024CS0006,CRS_CS504,83.4,A+,9.0,76.9,5,2026-2027
210,STU2024CS0006,CRS_CS505,72.2,A,8.0,83.4,5,2026-2027
211,STU2024CS0006,CRS_CS601,73.8,A,8.0,76.0,6,2026-2027
212,STU2024CS0006,CRS_CS602,70.8,A,8.0,77.0,6,2026-2027
213,STU2024CS0006,CRS_CS603,77.5,A,8.0,87.7,6,2026-2027
214,STU2024CS0006,CRS_CS604,64.9,B+,7.0,84.9,6,2026-2027
215,STU2024CS0006,CRS_CS605,72.8,A,8.0,79.9,6,2026-2027
216,STU2024CS0006,CRS_CS701,78.4,A,8.0,89.8,7,2027-2028
217,STU2024CS0006,CRS_CS702,76.5,A,8.0,76.3,7,2027-2028
218,STU2024CS0006,CRS_CS703,74.1,A,8.0,84.4,7,2027-2028
219,STU2024CS0006,CRS_CS704,74.3,A,8.0,85.7,7,2027-2028
220,STU2024CS0006,CRS_CS801,79.5,A,8.0,86.8,8,2027-2028
221,STU2024CS0006,CRS_CS802,97.7,O,10.0,84.9,8,2027-2028
222,STU2024CS0006,CRS_CS803,65.6,B+,7.0,90.3,8,2027-2028
223,STU2024CS0007,CRS_CS101,98.1,O,10.0,79.7,1,2021-2022
224,STU2024CS0007,CRS_CS102,65.1,B+,7.0,78.2,1,2021-2022
225,STU2024CS0007,CRS_CS103,50.6,B,6.0,84.9,1,2021-2022
226,STU2024CS0007,CRS_CS104,68.2,B+,7.0,76.3,1,2021-2022
227,STU2024CS0007,CRS_CS105,77.8,A,8.0,80.3,1,2021-2022
228,STU2024CS0007,CRS_CS201,94.6,O,10.0,88.8,2,2021-2022
229,STU2024CS0007,CRS_CS202,64.1,B+,7.0,90.5,2,2021-2022
230,STU2024CS0007,CRS_CS203,79.4,A,8.0,89.0,2,2021-2022
231,STU2024CS0007,CRS_CS204,59.5,B,6.0,90.9,2,2021-2022
232,STU2024CS0007,CRS_CS205,94.1,O,10.0,89.7,2,2021-2022
233,STU2024CS0007,CRS_CS301,87.0,A+,9.0,91.8,3,2022-2023
234,STU2024CS0007,CRS_CS302,68.8,B+,7.0,77.6,3,2022-2023
235,STU2024CS0007,CRS_CS303,55.2,B,6.0,91.5,3,2022-2023
236,STU2024CS0007,CRS_CS304,88.9,A+,9.0,89.3,3,2022-2023
237,STU2024CS0007,CRS_CS305,72.7,A,8.0,82.1,3,2022-2023
238,STU2024CS0007,CRS_CS401,87.6,A+,9.0,79.6,4,2022-2023
239,STU2024CS0007,CRS_CS402,74.1,A,8.0,88.1,4,2022-2023
240,STU2024CS0007,CRS_CS403,74.5,A,8.0,91.1,4,2022-2023
241,STU2024CS0007,CRS_CS404,69.0,B+,7.0,82.7,4,2022-2023
242,STU2024CS0007,CRS_CS405,80.9,A+,9.0,77.2,4,2022-2023
243,STU2024CS0007,CRS_CS501,75.3,A,8.0,78.9,5,2023-2024
244,STU2024CS0007,CRS_CS502,79.7,A,8.0,86.4,5,2023-2024
245,STU2024CS0007,CRS_CS503,57.1,B,6.0,76.9,5,2023-2024
246,STU2024CS0007,CRS_CS504,88.1,A+,9.0,86.4,5,2023-2024
247,STU2024CS0007,CRS_CS505,91.1,O,10.0,83.8,5,2023-2024
248,STU2024CS0007,CRS_CS601,75.3,A,8.0,89.5,6,2023-2024
249,STU2024CS0007,CRS_CS602,96.7,O,10.0,89.9,6,2023-2024
250,STU2024CS0007,CRS_CS603,93.3,O,10.0,81.9,6,2023-2024
251,STU2024CS0007,CRS_CS604,81.1,A+,9.0,87.0,6,2023-2024
252,STU2024CS0007,CRS_CS605,89.1,A+,9.0,78.6,6,2023-2024
253,STU2024CS0007,CRS_CS701,85.6,A+,9.0,81.7,7,2024-2025
254,STU2024CS0007,CRS_CS702,54.7,B,6.0,82.4,7,2024-2025
255,STU2024CS0007,CRS_CS703,71.0,A,8.0,83.7,7,2024-2025
256,STU2024CS0007,CRS_CS704,81.9,A+,9.0,88.3,7,2024-2025
257,STU2024CS0007,CRS_CS801,91.9,O,10.0,89.7,8,2024-2025
258,STU2024CS0007,CRS_CS802,58.8,B,6.0,91.1,8,2024-2025
259,STU2024CS0007,CRS_CS803,55.3,B,6.0,82.8,8,2024-2025
260,STU2024CS0008,CRS_CS101,73.4,A,8.0,91.7,1,2023-2024
261,STU2024CS0008,CRS_CS102,51.3,B,6.0,85.8,1,2023-2024
262,STU2024CS0008,CRS_CS103,73.0,A,8.0,79.1,1,2023-2024
263,STU2024CS0008,CRS_CS104,78.0,A,8.0,78.1,1,2023-2024
264,STU2024CS0008,CRS_CS105,63.7,B+,7.0,80.9,1,2023-2024
265,STU2024CS0008,CRS_CS201,73.3,A,8.0,86.3,2,2023-2024
266,STU2024CS0008,CRS_CS202,84.5,A+,9.0,77.9,2,2023-2024
267,STU2024CS0008,CRS_CS203,68.2,B+,7.0,78.0,2,2023-2024
268,STU2024CS0008,CRS_CS204,65.3,B+,7.0,76.5,2,2023-2024
269,STU2024CS0008,CRS_CS205,72.8,A,8.0,78.5,2,2023-2024
270,STU2024CS0008,CRS_CS301,62.6,B+,7.0,81.2,3,2024-2025
271,STU2024CS0008,CRS_CS302,95.6,O,10.0,75.7,3,2024-2025
272,STU2024CS0008,CRS_CS303,74.4,A,8.0,88.6,3,2024-2025
273,STU2024CS0008,CRS_CS304,66.3,B+,7.0,89.9,3,2024-2025
274,STU2024CS0008,CRS_CS305,76.4,A,8.0,90.7,3,2024-2025
275,STU2024CS0008,CRS_CS401,72.8,A,8.0,88.7,4,2024-2025
276,STU2024CS0008,CRS_CS402,71.6,A,8.0,87.7,4,2024-2025
277,STU2024CS0008,CRS_CS403,68.2,B+,7.0,81.3,4,2024-2025
278,STU2024CS0008,CRS_CS404,67.7,B+,7.0,83.2,4,2024-2025
279,STU2024CS0008,CRS_CS405,57.3,B,6.0,82.9,4,2024-2025
280,STU2024CS0008,CRS_CS501,89.0,A+,9.0,87.7,5,2025-2026
281,STU2024CS0008,CRS_CS502,80.3,A+,9.0,83.7,5,2025-2026
282,STU2024CS0008,CRS_CS503,77.4,A,8.0,84.0,5,2025-2026
283,STU2024CS0008,CRS_CS504,72.6,A,8.0,84.1,5,2025-2026
284,STU2024CS0008,CRS_CS505,63.5,B+,7.0,79.1,5,2025-2026
285,STU2024CS0008,CRS_CS601,65.7,B+,7.0,75.3,6,2025-2026
286,STU2024CS0008,CRS_CS602,58.4,B,6.0,80.5,6,2025-2026
287,STU2024CS0008,CRS_CS603,66.9,B+,7.0,77.0,6,2025-2026
288,STU2024CS0008,CRS_CS604,62.1,B+,7.0,90.1,6,2025-2026
289,STU2024CS0008,CRS_CS605,92.6,O,10.0,88.4,6,2025-2026
290,STU2024CS0008,CRS_CS701,83.7,A+,9.0,83.5,7,2026-2027
291,STU2024CS0008,CRS_CS702,74.9,A,8.0,85.0,7,2026-2027
292,STU2024CS0008,CRS_CS703,64.5,B+,7.0,87.7,7,2026-2027
293,STU2024CS0008,CRS_CS704,62.6,B+,7.0,79.8,7,2026-2027
294,STU2024CS0008,CRS_CS801,71.9,A,8.0,81.2,8,2026-2027
295,STU2024CS0008,CRS_CS802,84.2,A+,9.0,81.1,8,2026-2027
296,STU2024CS0008,CRS_CS803,95.0,O,10.0,91.8,8,2026-2027
297,STU2024CS0009,CRS_CS101,79.6,A,8.0,89.0,1,2021-2022
298,STU2024CS0009,CRS_CS102,91.4,O,10.0,89.5,1,2021-2022
299,STU2024CS0009,CRS_CS103,84.1,A+,9.0,89.9,1,2021-2022
300,STU2024CS0009,CRS_CS104,85.1,A+,9.0,90.9,1,2021-2022
301,STU2024CS0009,CRS_CS105,88.3,A+,9.0,92.1,1,2021-2022
302,STU2024CS0009,CRS_CS201,83.0,A+,9.0,97.8,2,2021-2022
303,STU2024CS0009,CRS_CS202,86.6,A+,9.0,97.7,2,2021-2022
304,STU2024CS0009,CRS_CS203,82.6,A+,9.0,96.7,2,2021-2022
305,STU2024CS0009,CRS_CS204,84.5,A+,9.0,89.7,2,2021-2022
306,STU2024CS0009,CRS_CS205,92.5,O,10.0,94.7,2,2021-2022
307,STU2024CS0009,CRS_CS301,88.6,A+,9.0,93.7,3,2022-2023
308,STU2024CS0009,CRS_CS302,92.5,O,10.0,90.8,3,2022-2023
309,STU2024CS0009,CRS_CS303,84.0,A+,9.0,91.2,3,2022-2023
310,STU2024CS0009,CRS_CS304,91.4,O,10.0,92.3,3,2022-2023
311,STU2024CS0009,CRS_CS305,78.2,A,8.0,89.1,3,2022-2023
312,STU2024CS0009,CRS_CS401,88.3,A+,9.0,94.1,4,2022-2023
313,STU2024CS0009,CRS_CS402,91.8,O,10.0,89.5,4,2022-2023
314,STU2024CS0009,CRS_CS403,78.0,A,8.0,92.8,4,2022-2023
315,STU2024CS0009,CRS_CS404,84.1,A+,9.0,91.4,4,2022-2023
316,STU2024CS0009,CRS_CS405,88.3,A+,9.0,89.3,4,2022-2023
317,STU2024CS0009,CRS_CS501,94.0,O,10.0,90.5,5,2023-2024
318,STU2024CS0009,CRS_CS502,84.5,A+,9.0,94.8,5,2023-2024
319,STU2024CS0009,CRS_CS503,91.2,O,10.0,92.7,5,2023-2024
320,STU2024CS0009,CRS_CS504,96.6,O,10.0,92.1,5,2023-2024
321,STU2024CS0009,CRS_CS505,91.5,O,10.0,96.3,5,2023-2024
322,STU2024CS0009,CRS_CS601,86.8,A+,9.0,97.7,6,2023-2024
323,STU2024CS0009,CRS_CS602,90.2,O,10.0,97.4,6,2023-2024
324,STU2024CS0009,CRS_CS603,84.4,A+,9.0,89.8,6,2023-2024
325,STU2024CS0009,CRS_CS604,88.5,A+,9.0,93.7,6,2023-2024
326,STU2024CS0009,CRS_CS605,87.1,A+,9.0,96.4,6,2023-2024
327,STU2024CS0009,CRS_CS701,90.0,O,10.0,90.0,7,2024-2025
328,STU2024CS0009,CRS_CS702,85.5,A+,9.0,89.6,7,2024-2025
329,STU2024CS0009,CRS_CS703,90.4,O,10.0,94.7,7,2024-2025
330,STU2024CS0009,CRS_CS704,85.5,A+,9.0,93.2,7,2024-2025
331,STU2024CS0009,CRS_CS801,93.2,O,10.0,91.9,8,2024-2025
332,STU2024CS0009,CRS_CS802,86.0,A+,9.0,96.2,8,2024-2025
333,STU2024CS0009,CRS_CS803,75.8,A,8.0,92.6,8,2024-2025
334,STU2024CS0010,CRS_CS101,62.9,B+,7.0,80.1,1,2023-2024
335,STU2024CS0010,CRS_CS102,74.2,A,8.0,78.9,1,2023-2024
